size	value	prob

3	0	1

4	0	0.636351
4	1	1

5	0	0.381833
5	1	1

6	0	0.280427
6	1	0.728339
6	2	0.956561
6	3	1

7	0	0.178803
7	1	0.612112
7	2	0.927689
7	3	1

8	0	0.15368
8	1	0.534853
8	2	0.87379
8	3	0.98467
8	4	0.999312
8	5	1

9	0	0.102381
9	1	0.4335
9	2	0.806059
9	3	0.968376
9	4	0.997902
9	5	1

10	0	0.0828754
10	1	0.371996
10	2	0.739515
10	3	0.942904
10	4	0.993915
10	5	0.999682
10	6	0.999995
10	7	1

11	0	0.0563738
11	1	0.29386
11	2	0.657283
11	3	0.90642
11	4	0.986656
11	5	0.999063
11	6	0.999969
11	7	1

12	0	0.0444641
12	1	0.244988
12	2	0.587809
12	3	0.863054
12	4	0.974476
12	5	0.997458
12	6	0.999868
12	7	0.999997
12	8	1

13	0	0.0305861
13	1	0.190147
13	2	0.506495
13	3	0.807651
13	4	0.955729
13	5	0.994275
13	6	0.999594
13	7	0.999986
13	8	1

14	0	0.0236683
14	1	0.155641
14	2	0.442334
14	3	0.751328
14	4	0.930825
14	5	0.988575
14	6	0.998917
14	7	0.999941
14	8	0.999998
14	9	1

15	0	0.0164065
15	1	0.119313
15	2	0.372019
15	3	0.684769
15	4	0.897233
15	5	0.979304
15	6	0.99751
15	7	0.999827
15	8	0.999993
15	9	1

16	0	0.0125337
16	1	0.0960549
16	2	0.318205
16	3	0.622917
16	4	0.858782
16	5	0.965929
16	6	0.994889
16	7	0.999537
16	8	0.999976
16	9	1

17	0	0.00873026
17	1	0.0729842
17	2	0.262479
17	3	0.554033
17	4	0.81126
17	5	0.946882
17	6	0.990383
17	7	0.998907
17	8	0.999924
17	9	0.999997
17	10	1

