n	value	freq	max_freq	sample


3	0	1	1	1

4	0	7	7	11
4	1	4	7	11

5	0	18	36	54
5	1	36	36	54

6	0	111	178	289
6	1	178	178	289

7	0	432	1366	2486
7	1	1366	1366	2486
7	2	688	1366	2486

8	0	3278	9158	20137
8	1	9158	9158	20137
8	2	7069	9158	20137
8	3	632	9158	20137

9	0	17564	76694	180944
9	1	76694	76694	180944
9	2	71712	76694	180944
9	3	14974	76694	180944

10	0	154300	766269	1796195
10	1	653222	766269	1796195
10	2	766269	766269	1796195
10	3	222404	766269	1796195

11	0	1040256	8759924	19946480
11	1	6080206	8759924	19946480
11	2	8759924	8759924	19946480
11	3	3616590	8759924	19946480
11	4	449504	8759924	19946480

12	0	10658553	103519047	239493020
12	1	61205104	103519047	239493020
12	2	103519047	103519047	239493020
12	3	53768048	103519047	239493020
12	4	9882962	103519047	239493020
12	5	459306	103519047	239493020

13	0	87349872	1287932948	3113195164
13	1	642967566	1287932948	3113195164
13	2	1287932948	1287932948	3113195164
13	3	865879566	1287932948	3113195164
13	4	212040836	1287932948	3113195164
13	5	17024376	1287932948	3113195164

14	0	1013725569	16843708851	43570972940
14	1	7478743870	16843708851	43570972940
14	2	16843708851	16843708851	43570972940
14	3	13455379580	16843708851	43570972940
14	4	4284329222	16843708851	43570972940
14	5	495085848	16843708851	43570972940

