n	value	freq	max_freq	sample


3	0	24998221	24998221	24998221

4	0	49994622	49994622	81938271
4	1	31943649	49994622	81938271

5	0	28041895	47476665	75518560
5	1	47476665	47476665	75518560

6	0	25999956	45125896	99832796
6	1	45125896	45125896	99832796
6	2	23592060	45125896	99832796
6	3	5114884	45125896	99832796

7	0	16702437	42724046	99476936
7	1	42724046	42724046	99476936
7	2	32465556	42724046	99476936
7	3	7584897	42724046	99476936

8	0	14303680	37581616	99997123
8	1	37581616	37581616	99997123
8	2	34999563	37581616	99997123
8	3	11545982	37581616	99997123
8	4	1499033	37581616	99997123
8	5	67249	37581616	99997123

9	0	9522077	38011777	99993672
9	1	32333421	38011777	99993672
9	2	38011777	38011777	99993672
9	3	16906261	38011777	99993672
9	4	3014959	38011777	99993672
9	5	205177	38011777	99993672

10	0	7635943	37227715	99999967
10	1	28192605	37227715	99999967
10	2	37227715	37227715	99999967
10	3	21080815	37227715	99999967
10	4	5258954	37227715	99999967
10	5	572841	37227715	99999967
10	6	30582	37227715	99999967
10	7	512	37227715	99999967

11	0	5190252	36523537	99999963
11	1	22982688	36523537	99999963
11	2	36523537	36523537	99999963
11	3	25670629	36523537	99999963
11	4	8284892	36523537	99999963
11	5	1256718	36523537	99999963
11	6	88323	36523537	99999963
11	7	2924	36523537	99999963

12	0	4078802	34324505	99999999
12	1	19332763	34324505	99999999
12	2	34324505	34324505	99999999
12	3	28187499	34324505	99999999
12	4	11487517	34324505	99999999
12	5	2338485	34324505	99999999
12	6	237640	34324505	99999999
12	7	12448	34324505	99999999
12	8	338	34324505	99999999
12	9	2	34324505	99999999

13	0	2806769	31445143	99999978
13	1	15299024	31445143	99999978
13	2	31445143	31445143	99999978
13	3	30679243	31445143	99999978
13	4	15252031	31445143	99999978
13	5	3946987	31445143	99999978
13	6	532090	31445143	99999978
13	7	37308	31445143	99999978
13	8	1383	31445143	99999978

14	0	2164550	31357297	99999996
14	1	12619016	31357297	99999996
14	2	28380645	31357297	99999996
14	3	31357297	31357297	99999996
14	4	18415606	31357297	99999996
14	5	5912992	31357297	99999996
14	6	1044069	31357297	99999996
14	7	100434	31357297	99999996
14	8	5232	31357297	99999996
14	9	155	31357297	99999996

