n	value	freq	max_freq	sample


3	0	24998221	24998221	24998221
3	1	0	24998221	24998221

4	0	49994622	49994622	81938271
4	1	0	49994622	81938271
4	2	31943649	49994622	81938271
4	3	0	49994622	81938271

5	0	28041895	43047193	88192436
5	1	0	43047193	88192436
5	2	43047193	43047193	88192436
5	3	17103348	43047193	88192436

6	0	25999956	41651432	99670776
6	1	0	41651432	99670776
6	2	41651432	41651432	99670776
6	3	8956920	41651432	99670776
6	4	16436083	41651432	99670776
6	5	6626385	41651432	99670776

7	0	16702437	36650333	99648168
7	1	0	36650333	99648168
7	2	36650333	36650333	99648168
7	3	14174422	36650333	99648168
7	4	22183889	36650333	99648168
7	5	7381443	36650333	99648168
7	6	2555644	36650333	99648168

8	0	14303680	33026121	99786127
8	1	0	33026121	99786127
8	2	33026121	33026121	99786127
8	3	10123783	33026121	99786127
8	4	24740415	33026121	99786127
8	5	11435395	33026121	99786127
8	6	5370432	33026121	99786127
8	7	786301	33026121	99786127

9	0	9522077	27228610	99962563
9	1	0	27228610	99962563
9	2	27115272	27228610	99962563
9	3	10850101	27228610	99962563
9	4	27228610	27228610	99962563
9	5	12857934	27228610	99962563
9	6	8955119	27228610	99962563
9	7	2790393	27228610	99962563
9	8	643057	27228610	99962563

10	0	7635943	26494785	99977794
10	1	0	26494785	99977794
10	2	23897126	26494785	99977794
10	3	8766039	26494785	99977794
10	4	26494785	26494785	99977794
10	5	13836420	26494785	99977794
10	6	12665394	26494785	99977794
10	7	4685392	26494785	99977794
10	8	1661332	26494785	99977794
10	9	335363	26494785	99977794

11	0	5190252	25711010	99989085
11	1	0	25711010	99989085
11	2	18936077	25711010	99989085
11	3	7913601	25711010	99989085
11	4	25711010	25711010	99989085
11	5	14857719	25711010	99989085
11	6	15758006	25711010	99989085
11	7	7177313	25711010	99989085
11	8	3390773	25711010	99989085
11	9	882062	25711010	99989085
11	10	172272	25711010	99989085

12	0	4078802	24033971	99991772
12	1	0	24033971	99991772
12	2	16042795	24033971	99991772
12	3	6400300	24033971	99991772
12	4	24033971	24033971	99991772
12	5	14447947	24033971	99991772
12	6	17771628	24033971	99991772
12	7	9294499	24033971	99991772
12	8	5436590	24033971	99991772
12	9	1880224	24033971	99991772
12	10	532128	24033971	99991772
12	11	72888	24033971	99991772

13	0	2806769	21729416	99997102
13	1	0	21729416	99997102
13	2	12444216	21729416	99997102
13	3	5389483	21729416	99997102
13	4	21729416	21729416	99997102
13	5	14107608	21729416	99997102
13	6	19290110	21729416	99997102
13	7	11545462	21729416	99997102
13	8	7885560	21729416	99997102
13	9	3294393	21729416	99997102
13	10	1188801	21729416	99997102
13	11	274464	21729416	99997102
13	12	40820	21729416	99997102

14	0	2164550	19773152	99998930
14	1	0	19773152	99998930
14	2	10298887	19773152	99998930
14	3	4356125	19773152	99998930
14	4	19548076	19773152	99998930
14	5	12919889	19773152	99998930
14	6	19773152	19773152	99998930
14	7	12850270	19773152	99998930
14	8	10073823	19773152	99998930
14	9	4962531	19773152	99998930
14	10	2212476	19773152	99998930
14	11	668936	19773152	99998930
14	12	148822	19773152	99998930
14	13	21393	19773152	99998930

