n	value	freq	max_freq	sample


3	0	33331103	33331103	33331103

4	0	53844470	53844470	84614402
4	1	30769932	53844470	84614402

5	0	29578261	42250880	71829141
5	1	42250880	42250880	71829141

6	0	27981741	40789520	99565734
6	1	40789520	40789520	99565734
6	2	24724821	40789520	99565734
6	3	6069652	40789520	99565734

7	0	17787134	36723270	98723082
7	1	36723270	36723270	98723082
7	2	33538010	36723270	98723082
7	3	10674668	36723270	98723082

8	0	15367495	33450732	99986216
8	1	33450732	33450732	99986216
8	2	32736736	33450732	99986216
8	3	15029181	33450732	99986216
8	4	3113202	33450732	99986216
8	5	288870	33450732	99986216

9	0	10237542	34594429	99959389
9	1	27790898	34594429	99959389
9	2	34594429	34594429	99959389
9	3	20712214	34594429	99959389
9	4	5845415	34594429	99959389
9	5	778891	34594429	99959389

10	0	8287533	32853977	99999686
10	1	24597141	32853977	99999686
10	2	32853977	32853977	99999686
10	3	23323168	32853977	99999686
10	4	8926308	32853977	99999686
10	5	1807631	32853977	99999686
10	6	193969	32853977	99999686
10	7	9959	32853977	99999686

11	0	5637373	31082693	99999187
11	1	19651838	31082693	99999187
11	2	31082693	31082693	99999187
11	3	26858100	31082693	99999187
11	4	12844895	31082693	99999187
11	5	3391741	31082693	99999187
11	6	494967	31082693	99999187
11	7	37580	31082693	99999187

12	0	4446413	28639687	99999997
12	1	16728201	28639687	99999997
12	2	28639687	28639687	99999997
12	3	27700310	28639687	99999997
12	4	15850810	28639687	99999997
12	5	5403871	28639687	99999997
12	6	1094178	28639687	99999997
12	7	127914	28639687	99999997
12	8	8356	28639687	99999997
12	9	257	28639687	99999997

13	0	3058606	28575709	99999971
13	1	13046975	28575709	99999971
13	2	25473017	28575709	99999971
13	3	28575709	28575709	99999971
13	4	19414459	28575709	99999971
13	5	8050892	28575709	99999971
13	6	2037775	28575709	99999971
13	7	313176	28575709	99999971
13	8	28099	28575709	99999971
13	9	1263	28575709	99999971

14	0	2366833	27917336	99999994
14	1	10833405	27917336	99999994
14	2	22750335	27917336	99999994
14	3	27917336	27917336	99999994
14	4	21481207	27917336	99999994
14	5	10558333	27917336	99999994
14	6	3331399	27917336	99999994
14	7	669771	27917336	99999994
14	8	84676	27917336	99999994
14	9	6404	27917336	99999994
14	10	295	27917336	99999994

15	0	1640647	26861258	99999998
15	1	8325053	26861258	99999998
15	2	19454275	26861258	99999998
15	3	26861258	26861258	99999998
15	4	23629082	26861258	99999998
15	5	13534951	26861258	99999998
15	6	5085066	26861258	99999998
15	7	1249733	26861258	99999998
15	8	198866	26861258	99999998
15	9	19826	26861258	99999998
15	10	1206	26861258	99999998
15	11	35	26861258	99999998

16	0	1253370	25230626	99999997
16	1	6775211	25230626	99999997
16	2	16912014	25230626	99999997
16	3	25230626	25230626	99999997
16	4	24440785	25230626	99999997
16	5	15866184	25230626	99999997
16	6	6969438	25230626	99999997
16	7	2075892	25230626	99999997
16	8	416124	25230626	99999997
16	9	55298	25230626	99999997
16	10	4817	25230626	99999997
16	11	238	25230626	99999997

17	0	873026	24992634	99999960
17	1	5151355	24992634	99999960
17	2	14073461	24992634	99999960
17	3	23131023	24992634	99999960
