size	value	prob

3	0	1

4	0	0.636351
4	1	1

5	0	0.411786
5	1	1

6	0	0.281038
6	1	0.690712
6	2	0.939039
6	3	1

7	0	0.180172
7	1	0.552155
7	2	0.891873
7	3	1

8	0	0.153696
8	1	0.48825
8	2	0.815662
8	3	0.965975
8	4	0.997111
8	5	1

9	0	0.102417
9	1	0.380439
9	2	0.726524
9	3	0.93373
9	4	0.992208
9	5	1

10	0	0.0828756
10	1	0.328848
10	2	0.657389
10	3	0.890621
10	4	0.979884
10	5	0.997961
10	6	0.9999
10	7	1

11	0	0.0563742
11	1	0.252894
11	2	0.563724
11	3	0.832307
11	4	0.960757
11	5	0.994674
11	6	0.999624
11	7	1

12	0	0.0444641
12	1	0.211746
12	2	0.498143
12	3	0.775146
12	4	0.933654
12	5	0.987693
12	6	0.998635
12	7	0.999914
12	8	0.999997
12	9	1

13	0	0.0305861
13	1	0.161056
13	2	0.415786
13	3	0.701543
13	4	0.895688
13	5	0.976197
13	6	0.996575
13	7	0.999706
13	8	0.999987
13	9	1

14	0	0.0236683
14	1	0.132002
14	2	0.359506
14	3	0.638679
14	4	0.853491
14	5	0.959075
14	6	0.992389
14	7	0.999086
14	8	0.999933
14	9	0.999997
14	10	1

15	0	0.0164065
15	1	0.099657
15	2	0.2942
15	3	0.562812
15	4	0.799103
15	5	0.934453
15	6	0.985303
15	7	0.997801
15	8	0.999789
15	9	0.999988
15	10	1
15	11	1

16	0	0.0125337
16	1	0.0802858
16	2	0.249406
16	3	0.501712
16	4	0.74612
16	5	0.904782
16	6	0.974476
16	7	0.995235
16	8	0.999396
16	9	0.999949
16	10	0.999998
16	11	1

17	0	0.00873026
17	1	0.0602438
17	2	0.200979
17	3	0.432289
17	4	0.682215
17	5	0.865752
17	6	0.958486
17	7	0.990818
17	8	0.998578
17	9	0.999851
17	10	0.99999
17	11	1

18	0	0.00661496
18	1	0.047878
18	2	0.16776
18	3	0.37839
18	4	0.624905
18	5	0.824523
18	6	0.938141
18	7	0.983929
18	8	0.996976
18	9	0.999599
18	10	0.999964
18	11	0.999998
18	12	1

19	0	0.00463547
19	1	0.035738
19	2	0.13336
19	3	0.319904
19	4	0.559141
19	5	0.773695
19	6	0.910814
19	7	0.973565
19	8	0.994222
19	9	0.999082
19	10	0.999897
19	11	0.999992
19	12	1

20	0	0.00347597
20	1	0.0281362
20	2	0.109825
20	3	0.275667
20	4	0.503312
20	5	0.724451
20	6	0.879972
20	7	0.959836
20	8	0.989821
20	9	0.998075
20	10	0.999735
20	11	0.999974
20	12	0.999998
20	13	1
20	14	1

21	0	0.0024399
21	1	0.0209257
21	2	0.0864732
21	3	0.229499
21	4	0.441896
21	5	0.667095
21	6	0.841369
21	7	0.94097
21	8	0.983123
21	9	0.996342
21	10	0.99941
21	11	0.99993
21	12	0.999994
21	13	1

22	0	0.00182036
22	1	0.0163322
22	2	0.0704004
22	3	0.194899
22	4	0.391312
22	5	0.614353
22	6	0.80137
22	7	0.918613
