size	value	prob

3	0	1

4	0	0.697061
4	1	1

5	0	0.436959
5	1	1

6	0	0.230193
6	1	0.537046
6	2	0.912137
6	3	1

7	0	0.100247
7	1	0.324984
7	2	0.701603
7	3	0.905086
7	4	1

8	0	0.0651692
8	1	0.196059
8	2	0.478166
8	3	0.726695
8	4	0.90269
8	5	0.975588
8	6	0.995285
8	7	1

9	0	0.0248055
9	1	0.09662
9	2	0.281763
9	3	0.509219
9	4	0.729991
9	5	0.878952
9	6	0.9546
9	7	0.989168
9	8	1

10	0	0.0160723
10	1	0.0553383
10	2	0.164837
10	3	0.338402
10	4	0.547696
10	5	0.731489
10	6	0.859918
10	7	0.939609
10	8	0.980226
10	9	0.994631
10	10	0.999072
10	11	1

11	0	0.00550907
11	1	0.0235894
11	2	0.0803108
11	3	0.189762
11	4	0.350768
11	5	0.529842
11	6	0.692042
11	7	0.822431
11	8	0.912146
11	9	0.961097
11	10	0.985072
11	11	0.995289
11	12	0.999054
11	13	1

12	0	0.00355111
12	1	0.0132905
12	2	0.0428026
12	3	0.107882
12	4	0.218188
12	5	0.362454
12	6	0.51894
12	7	0.667929
12	8	0.79359
12	9	0.882524
12	10	0.9395
12	11	0.972172
12	12	0.989047
12	13	0.996321
12	14	0.998916
12	15	0.999718
12	16	0.999947
12	17	1

13	0	0.00110834
13	1	0.00504723
13	2	0.0181802
13	3	0.0509563
13	4	0.114858
13	5	0.212669
13	6	0.337859
13	7	0.478213
13	8	0.618633
13	9	0.739907
13	10	0.835138
13	11	0.903332
13	12	0.948258
13	13	0.974806
13	14	0.988752
13	15	0.995472
13	16	0.99844
13	17	0.99958
13	18	0.999929
13	19	1

14	0	0.000723871
14	1	0.00288744
14	2	0.0093927
14	3	0.0263507
14	4	0.0623563
14	5	0.12367
14	6	0.212033
14	7	0.323698
14	8	0.450523
14	9	0.577454
14	10	0.69355
14	11	0.790886
14	12	0.866454
14	13	0.920192
14	14	0.955298
14	15	0.976605
14	16	0.988736
14	17	0.995077
14	18	0.99808
14	19	0.999329
14	20	0.999798
14	21	0.999951
14	22	0.999992
14	23	1

15	0	0.00020796
15	1	0.000996111
15	2	0.00359784
15	3	0.0109446
15	4	0.0281583
15	5	0.0610436
15	6	0.114486
15	7	0.190597
15	8	0.288192
15	9	0.399596
15	10	0.515961
15	11	0.627867
15	12	0.727916
15	13	0.810947
15	14	0.875057
15	15	0.92162
15	16	0.953559
15	17	0.974122
15	18	0.986519
15	19	0.993445
15	20	0.997035
15	21	0.998759
15	22	0.999533
15	23	0.999851
15	24	0.999962
15	25	0.999994
15	26	1

16	0	0.00013628
16	1	0.00058114
16	2	0.00188744
16	3	0.00544221
16	4	0.0140964
16	5	0.0317107
16	6	0.0626428
16	7	0.110633
16	8	0.177896
16	9	0.262787
16	10	0.361246
16	11	0.466807
16	12	0.572303
16	13	0.670708
16	14	0.756662
16	15	0.82755
16	16	0.883029
16	17	0.924245
16	18	0.953244
16	19	0.972493
16	20	0.984612
16	21	0.991839
