size	value	prob

3	0	1

4	0	0.166641
4	1	0.499975
4	2	1

5	0	0.105303
5	1	0.38598
5	2	1

6	0	0.0260947
6	1	0.126047
6	2	0.489142
6	3	0.797868
6	4	0.945598
6	5	1

7	0	0.0146113
7	1	0.0718862
7	2	0.302128
7	3	0.61473
7	4	0.861067
7	5	1

8	0	0.0042629
8	1	0.02555
8	2	0.133197
8	3	0.337812
8	4	0.593233
8	5	0.814872
8	6	0.93173
8	7	0.982118
8	8	0.997146
8	9	1

9	0	0.00210694
9	1	0.0124557
9	2	0.0642895
9	3	0.190937
9	4	0.39642
9	5	0.630745
9	6	0.815958
9	7	0.925631
9	8	0.981602
9	9	1

10	0	0.00058363
10	1	0.00407989
10	2	0.0238408
10	3	0.0839126
10	4	0.20824
10	5	0.39213
10	6	0.590002
10	7	0.756101
10	8	0.876562
10	9	0.947627
10	10	0.98109
10	11	0.99438
10	12	0.998949
10	13	0.999897
10	14	1

11	0	0.000266714
11	1	0.00180667
11	2	0.0100265
11	3	0.0384611
11	4	0.107722
11	5	0.231011
11	6	0.39596
11	7	0.572004
11	8	0.731001
11	9	0.851439
11	10	0.92809
11	11	0.969794
11	12	0.989868
11	13	0.997852
11	14	1

12	0	7.04002e-05
12	1	0.000539961
12	2	0.00325051
12	3	0.0140517
12	4	0.0450657
12	5	0.111128
12	6	0.218697
12	7	0.359638
12	8	0.516251
12	9	0.66508
12	10	0.787388
12	11	0.875737
12	12	0.934044
12	13	0.968793
12	14	0.986958
12	15	0.995263
12	16	0.998576
12	17	0.999663
12	18	0.999954
12	19	1

13	0	2.90011e-05
13	1	0.000220118
13	2	0.00126459
13	3	0.00560409
13	4	0.019323
13	5	0.0524812
13	6	0.115164
13	7	0.211585
13	8	0.337613
13	9	0.479283
13	10	0.618422
13	11	0.73957
13	12	0.835277
13	13	0.904248
13	14	0.949138
13	15	0.975458
13	16	0.989396
13	17	0.996022
13	18	0.998811
13	19	0.999761
13	20	1

14	0	7.22e-06
14	1	6.082e-05
14	2	0.00037285
14	3	0.00178748
14	4	0.0068219
14	5	0.0206447
14	6	0.0507017
14	7	0.104338
14	8	0.185782
14	9	0.292734
14	10	0.416129
14	11	0.543024
14	12	0.661794
14	13	0.764043
14	14	0.845072
14	15	0.904192
14	16	0.944251
14	17	0.96964
14	18	0.984722
14	19	0.992961
14	20	0.997077
14	21	0.998919
14	22	0.999658
14	23	0.999914
14	24	0.999984
14	25	0.999998
14	26	1

15	0	2.81001e-06
15	1	2.35801e-05
15	2	0.000136761
15	3	0.000655492
15	4	0.00256807
15	5	0.00827876
15	6	0.0220357
15	7	0.049587
15	8	0.096826
15	9	0.167184
15	10	0.259651
15	11	0.368419
15	12	0.484795
15	13	0.599365
15	14	0.703622
15	15	0.791515
15	16	0.860659
15	17	0.91172
15	18	0.947253
15	19	0.970386
15	20	0.984512
15	21	0.992475
15	22	0.996644
15	23	0.998659
15	24	0.999533
15	25	0.999868
15	26	0.999974
15	27	1

16	0	8.5e-07
